value,frequency
AIR BAGS,1610
BACKOVER PREVENTION,180
CHILD SEAT,210
ELECTRICAL SYSTEM,2610
ELECTRONIC STABILITY CONTROL,260
ENGINE,2880
EXTERIOR LIGHTING,520
FORWARD COLLISION AVOIDANCE,410
FUEL SYSTEM,1810
HYBRID PROPULSION SYSTEM,210
LANE DEPARTURE,360
PARKING BRAKE,330
POWER TRAIN,2230
SEAT BELTS,560
SERVICE BRAKES,3120
STEERING,1520
STRUCTURE,870
SUSPENSION,940
TIRES,690
TRACTION CONTROL SYSTEM,290
UNKNOWN OR OTHER,180
VEHICLE SPEED CONTROL,490
VISIBILITY,810
WHEELS,740
