value,frequency
3,140
3 SERIES,260
4RUNNER,190
5 SERIES,180
A4,150
ACCORD,390
ACCORD HV,150
ALTIMA,340
C-CLASS,170
CAMRY,540
CAMRY HV,160
CHEROKEE,290
CIVIC,410
CIVIC HV,110
COROLLA,560
CR-V,420
CROSSTREK,200
CX-3,120
CX-5,210
E-CLASS,140
EDGE,210
ELANTRA,290
ES,170
ESCAPE,330
EXPLORER,360
F-150,610
FORESTER,270
FUSION,200
GLC,120
GRAND CHEROKEE,270
HIGHLANDER,250
IMPREZA,190
IS,120
JETTA,260
MODEL 3,160
MODEL S,80
MODEL Y,140
MUSTANG,210
NX,130
OUTBACK,290
PASSAT,210
PRIUS,210
Q5,130
RAV4,510
ROGUE,360
RX,160
SANTA FE,200
SENTRA,310
SIENNA,200
SIERRA,280
SILVERADO,540
SONATA,280
SORRENTO,190
SPORTAGE,200
TACOMA,210
TIGUAN,180
TUCSON,210
WRANGLER,330
X3,130
X5,140
