value,alias
JPMORGAN CHASE & CO.,Chase
JPMORGAN CHASE & CO.,JP Morgan
JPMORGAN CHASE & CO.,JPMorgan Chase
BANK OF AMERICA,Bank of America
BANK OF AMERICA,BofA
BANK OF AMERICA,BoA
WELLS FARGO,Wells Fargo
CITIBANK,Citi
CITIBANK,Citibank
CAPITAL ONE,Capital One
AMERICAN EXPRESS,Amex
AMERICAN EXPRESS,American Express
DISCOVER,Discover
U.S. BANCORP,US Bank
U.S. BANCORP,U.S. Bank
PNC BANK,PNC
TRUIST FINANCIAL,Truist
SOFI,SoFi
ALLY FINANCIAL,Ally
GOLDMAN SACHS,Goldman Sachs
Marcus by Goldman Sachs,Goldman Sachs
